param_id,fam_duration,violation_type,sample_n_mean,sample_n_std,linking_hypothesis,mu_prior,hypothetical_obs_grid_n,max_observation,batch_n,jitter_n,quad_a,quad_b,quad_c,V_prior,alpha_prior,beta_prior,epsilon,mu_epsilon,sd_epsilon,world_EIGs,forced_exposure_max
83,0,background,48.25,34.12187907456076,EIG,0,5,500,2,20,999,999,999,1,10,0.1,1e-4,0.001,1,1e-5,5
55,0,background,60.1,55.86063485421366,EIG,0,5,500,2,20,999,999,999,1,1,1,1e-4,0.001,0.5,1e-5,5
83,0,background,48.05,28.30003719543771,EIG,0,5,500,2,20,999,999,999,1,10,0.1,1e-4,0.001,1,1e-5,5
55,0,background,57.7,45.867199609306866,EIG,0,5,500,2,20,999,999,999,1,1,1,1e-4,0.001,0.5,1e-5,5
83,0,background,55.35,23.61817988441598,EIG,0,5,500,2,20,999,999,999,1,10,0.1,1e-4,0.001,1,1e-5,5
83,0,background,67.15,34.00042569392949,EIG,0,5,500,2,20,999,999,999,1,10,0.1,1e-4,0.001,1,1e-5,5
83,0,background,76.7,43.312937170270374,EIG,0,5,500,2,20,999,999,999,1,10,0.1,1e-4,0.001,1,1e-5,5
83,0,background,55.65,33.80326206619399,EIG,0,5,500,2,20,999,999,999,1,10,0.1,1e-4,0.001,1,1e-5,5
83,0,background,68.3,30.92452612069381,EIG,0,5,500,2,20,999,999,999,1,10,0.1,1e-4,0.001,1,1e-5,5
83,0,background,40.75,32.74603230284468,EIG,0,5,500,2,20,999,999,999,1,10,0.1,1e-4,0.001,1,1e-5,5
83,0,background,51.25,39.99983552597764,EIG,0,5,500,2,20,999,999,999,1,10,0.1,1e-4,0.001,1,1e-5,5
83,0,background,41.7,36.36814684944997,EIG,0,5,500,2,20,999,999,999,1,10,0.1,1e-4,0.001,1,1e-5,5
83,0,background,51.35,34.956025005863104,EIG,0,5,500,2,20,999,999,999,1,10,0.1,1e-4,0.001,1,1e-5,5
83,0,background,36.05,23.74973684064731,EIG,0,5,500,2,20,999,999,999,1,10,0.1,1e-4,0.001,1,1e-5,5
71,0,background,39.15,33.89655315499606,EIG,0,5,500,2,20,999,999,999,1,1,10,1e-4,0.001,1,1e-5,5
71,0,background,43.5,36.98861844860986,EIG,0,5,500,2,20,999,999,999,1,1,10,1e-4,0.001,1,1e-5,5
71,0,background,47.3,34.46752857858813,EIG,0,5,500,2,20,999,999,999,1,1,10,1e-4,0.001,1,1e-5,5
71,0,background,39.85,34.996653975397194,EIG,0,5,500,2,20,999,999,999,1,1,10,1e-4,0.001,1,1e-5,5
71,0,background,55.5,32.342736921586386,EIG,0,5,500,2,20,999,999,999,1,1,10,1e-4,0.001,1,1e-5,5
71,0,background,31.15,18.195647252773625,EIG,0,5,500,2,20,999,999,999,1,1,10,1e-4,0.001,1,1e-5,5
71,0,background,38.1,29.33993147482401,EIG,0,5,500,2,20,999,999,999,1,1,10,1e-4,0.001,1,1e-5,5
71,0,background,41.9,32.98468544164413,EIG,0,5,500,2,20,999,999,999,1,1,10,1e-4,0.001,1,1e-5,5
71,0,background,45.55,27.352427006719072,EIG,0,5,500,2,20,999,999,999,1,1,10,1e-4,0.001,1,1e-5,5
71,0,background,42.75,23.169569425615595,EIG,0,5,500,2,20,999,999,999,1,1,10,1e-4,0.001,1,1e-5,5
71,0,background,33.65,34.145624671552376,EIG,0,5,500,2,20,999,999,999,1,1,10,1e-4,0.001,1,1e-5,5
71,0,background,45.85,26.49384238291091,EIG,0,5,500,2,20,999,999,999,1,1,10,1e-4,0.001,1,1e-5,5
71,0,background,59.4,36.12172403649113,EIG,0,5,500,2,20,999,999,999,1,1,10,1e-4,0.001,1,1e-5,5
71,0,background,64.9,41.7648807391796,EIG,0,5,500,2,20,999,999,999,1,1,10,1e-4,0.001,1,1e-5,5
71,0,background,43,28.018790687303895,EIG,0,5,500,2,20,999,999,999,1,1,10,1e-4,0.001,1,1e-5,5
83,0,background,53.05,36.16406329056804,EIG,0,5,500,2,20,999,999,999,1,10,0.1,1e-4,0.001,1,1e-5,5
83,0,background,50.25,36.810860811507936,EIG,0,5,500,2,20,999,999,999,1,10,0.1,1e-4,0.001,1,1e-5,5
83,0,background,35.25,36.07138390528017,EIG,0,5,500,2,20,999,999,999,1,10,0.1,1e-4,0.001,1,1e-5,5
83,0,background,49.55,32.02215515939911,EIG,0,5,500,2,20,999,999,999,1,10,0.1,1e-4,0.001,1,1e-5,5
83,0,background,53.4,36.185777956481594,EIG,0,5,500,2,20,999,999,999,1,10,0.1,1e-4,0.001,1,1e-5,5
71,0,background,62,42.97367615302726,EIG,0,5,500,2,20,999,999,999,1,1,10,1e-4,0.001,1,1e-5,5
71,0,background,52.45,38.38924602706226,EIG,0,5,500,2,20,999,999,999,1,1,10,1e-4,0.001,1,1e-5,5
71,0,background,47.7,27.77749941380992,EIG,0,5,500,2,20,999,999,999,1,1,10,1e-4,0.001,1,1e-5,5
71,0,background,42.7,27.50712826274597,EIG,0,5,500,2,20,999,999,999,1,1,10,1e-4,0.001,1,1e-5,5
71,0,background,34.15,28.28478296484562,EIG,0,5,500,2,20,999,999,999,1,1,10,1e-4,0.001,1,1e-5,5
83,0,background,50.3,32.948284836759115,EIG,0,5,500,2,20,999,999,999,1,10,0.1,1e-4,0.001,1,1e-5,5
83,0,background,35.9,20.67263637606104,EIG,0,5,500,2,20,999,999,999,1,10,0.1,1e-4,0.001,1,1e-5,5
83,0,background,48.55,29.51444784472424,EIG,0,5,500,2,20,999,999,999,1,10,0.1,1e-4,0.001,1,1e-5,5
83,0,background,44.5,35.22035894494158,EIG,0,5,500,2,20,999,999,999,1,10,0.1,1e-4,0.001,1,1e-5,5
83,0,background,41.45,35.79984563330436,EIG,0,5,500,2,20,999,999,999,1,10,0.1,1e-4,0.001,1,1e-5,5
71,0,background,43.55,31.890396178490047,EIG,0,5,500,2,20,999,999,999,1,1,10,1e-4,0.001,1,1e-5,5
71,0,background,51.95,35.58899149722388,EIG,0,5,500,2,20,999,999,999,1,1,10,1e-4,0.001,1,1e-5,5
71,0,background,49.8,33.52705113628004,EIG,0,5,500,2,20,999,999,999,1,1,10,1e-4,0.001,1,1e-5,5
71,0,background,45.5,25.23468790542515,EIG,0,5,500,2,20,999,999,999,1,1,10,1e-4,0.001,1,1e-5,5
71,0,background,47.15,33.72532236200349,EIG,0,5,500,2,20,999,999,999,1,1,10,1e-4,0.001,1,1e-5,5
71,0,background,52.15,33.19840674680512,EIG,0,5,500,2,20,999,999,999,1,1,10,1e-4,0.001,1,1e-5,5
71,0,background,40.95,27.95009650675364,EIG,0,5,500,2,20,999,999,999,1,1,10,1e-4,0.001,1,1e-5,5
71,0,background,41.4,29.42143865672749,EIG,0,5,500,2,20,999,999,999,1,1,10,1e-4,0.001,1,1e-5,5
71,0,background,40.9,26.544699143738264,EIG,0,5,500,2,20,999,999,999,1,1,10,1e-4,0.001,1,1e-5,5
71,0,background,56.3,45.244482071239766,EIG,0,5,500,2,20,999,999,999,1,1,10,1e-4,0.001,1,1e-5,5
55,0,background,42.2,34.541508210755424,EIG,0,5,500,2,20,999,999,999,1,1,1,1e-4,0.001,0.5,1e-5,5
55,0,background,46.55,47.58203442477003,EIG,0,5,500,2,20,999,999,999,1,1,1,1e-4,0.001,0.5,1e-5,5
55,0,background,35.35,19.31804446897416,EIG,0,5,500,2,20,999,999,999,1,1,1,1e-4,0.001,0.5,1e-5,5
55,0,background,51.2,51.1937496184837,EIG,0,5,500,2,20,999,999,999,1,1,1,1e-4,0.001,0.5,1e-5,5
55,0,background,29.55,31.90359656346304,EIG,0,5,500,2,20,999,999,999,1,1,1,1e-4,0.001,0.5,1e-5,5
71,0,background,47.75,23.46077353236338,EIG,0,5,500,2,20,999,999,999,1,1,10,1e-4,0.001,1,1e-5,5
71,0,background,56.4,30.625754555688307,EIG,0,5,500,2,20,999,999,999,1,1,10,1e-4,0.001,1,1e-5,5
71,0,background,59.05,29.08331950937187,EIG,0,5,500,2,20,999,999,999,1,1,10,1e-4,0.001,1,1e-5,5
71,0,background,46.55,29.40546852113342,EIG,0,5,500,2,20,999,999,999,1,1,10,1e-4,0.001,1,1e-5,5
71,0,background,50.1,25.166602765109996,EIG,0,5,500,2,20,999,999,999,1,1,10,1e-4,0.001,1,1e-5,5
83,0,background,60.75,29.66457217128309,EIG,0,5,500,2,20,999,999,999,1,10,0.1,1e-4,0.001,1,1e-5,5
83,0,background,52.9,24.20504514613257,EIG,0,5,500,2,20,999,999,999,1,10,0.1,1e-4,0.001,1,1e-5,5
83,0,background,57.85,26.113668532217496,EIG,0,5,500,2,20,999,999,999,1,10,0.1,1e-4,0.001,1,1e-5,5
