param_id,trial_type,trial_number,count,sd_sample,mean_sample,ub_sample,lb_sample
23,animacy,9,40,428.50313516018207,75.8175,82.45722486898286,69.17777513101713
23,animacy,10,40,423.7189299275492,71.2875,77.85309284087165,64.72190715912834
23,background,9,40,306.96966676821586,53.47625,58.23279426589526,48.71970573410474
23,background,10,40,303.9181806445869,50.59375,55.30301099853984,45.88448900146016
23,identity,9,40,497.52205452305543,83.4675,91.17668410445073,75.75831589554927
23,identity,10,40,522.7782185491986,87.11625,95.21678242052968,79.0157175794703
23,number,9,40,457.00895419075357,84.49,91.57142711103823,77.40857288896176
23,number,10,40,439.04028708560503,79.3125,86.11549972964713,72.50950027035287
23,pose,9,40,376.5991656641678,64.1325,69.96796452924745,58.29703547075253
23,pose,10,40,417.75293000326855,68.0225,74.49564871429418,61.54935128570581
