experiment,subject_num,fam_duration,age,sex,SubjectInfo.sessionNumber,fam_or_test,test_type,animal,Trials.ordinal,Looks.confidence,Trials.duration,Trials.excludeTrial,Trials.excludeReason,LT,block_num,exclude,is_violation
7,PKBB_16,8,264,F,1,test,background,4,7,0.4744523704525024,12.453,False,,7.537000000000001,4,FALSE,FALSE
7,PKBB_16,9,264,F,1,test,number,5,3,0.6586191763769629,31.364,False,,14.324000000000003,2,FALSE,TRUE
7,PKBB_16,9,264,F,1,test,identity,2,5,0.6537083794336338,53.374,False,,5.304000000000002,3,FALSE,TRUE
7,PKBB_17,8,268,F,1,test,pose,3,7,0.8189357838334599,39.794,False,,6.719999999999999,4,FALSE,TRUE
7,PKBB_17,9,268,F,1,test,identity,1,1,0.6450954202617903,15.226,False,,8.443999999999999,1,FALSE,TRUE
7,PKBB_17,9,268,F,1,test,background,2,3,0.8557462736094381,10.009,False,,9.83,2,FALSE,FALSE
7,PKBB_18,9,227,F,1,test,identity,2,3,0.4053811530272166,10.274,False,,8.875,2,FALSE,TRUE
7,PKBB_18,9,227,F,1,test,number,5,5,0.7285861603202162,27.174,False,,22.738000000000003,3,FALSE,TRUE
7,PKBB_22,8,247,F,1,test,pose,2,1,0.8120306139249426,24.129,False,,6.830000000000003,1,FALSE,TRUE
7,PKBB_22,8,247,F,1,test,number,5,5,0.6248405510352718,20.475,False,,6.717999999999997,3,FALSE,TRUE
7,PKBB_22,9,247,F,1,test,identity,3,3,0.6204581898876599,42.054,False,,11.549999999999995,2,FALSE,TRUE
7,PKBB_22,9,247,F,1,test,background,6,7,0.6593518476652843,16.907,False,,9.869,4,FALSE,FALSE
7,PKBB_24,8,299,F,1,test,background,3,1,0.8450732809631637,36.374,False,,33.576,1,FALSE,FALSE
7,PKBB_24,9,299,F,1,test,number,2,5,0.7617812238751294,17.151,False,,6.705999999999999,3,FALSE,TRUE
7,PKBB_25,8,335,M,1,test,background,1,5,0.6989165114031898,16.491,False,,16.332,3,FALSE,FALSE
7,PKBB_25,8,335,M,1,test,identity,4,7,0.7778635910526271,25.665,False,,24.826,4,FALSE,TRUE
7,PKBB_25,9,335,M,1,test,number,2,1,0.745672228399105,60,False,,37.161,1,FALSE,TRUE
7,PKBB_25,9,335,M,1,test,animacy,5,3,0.7432616212190611,47.28,False,,29.393,2,FALSE,TRUE
