subject_num,age,sex,SubjectInfo.sessionNumber,Trials.trialType,Trials.ordinal,Looks.confidence,Trials.duration,Trials.excludeTrial,Trials.excludeReason,LT,experiment,trial_type,pose,block_num,exclude
PKBB_14,322,F,1,stimuli/images/unity_stims/veggie_02_nopose_single_new.mp4,1,0.7569117324176866,34.8,False,,16.144000000000002,6,veggie,no_pose,2,FALSE
PKBB_14,322,F,1,stimuli/images/unity_stims/animate_04_right_single_new.mp4,2,0.2854318877887177,27.408,False,,15.747000000000002,6,single animal,right,3,FALSE
PKBB_14,322,F,1,stimuli/images/unity_stims/animate_01_left_single_new.mp4,3,0.28371789286689697,39.008,False,,11.873000000000005,6,single animal,left,4,FALSE
PKBB_14,322,F,1,stimuli/images/unity_stims/animate_06_left_pair_new.mp4,4,NA,57.267,False,,57.267,6,animal pair,left,5,FALSE
PKBB_14,322,F,1,stimuli/images/unity_stims/veggie_05_nopose_single_new.mp4,5,NA,47.127,False,,47.127,6,veggie,no_pose,6,FALSE
PKBB_15,260,M,1,stimuli/images/unity_stims/veggie_06_nopose_single_new.mp4,0,NA,26.616,False,,26.616,6,veggie,no_pose,1,FALSE
PKBB_15,260,M,1,stimuli/images/unity_stims/animate_02_left_single_new.mp4,1,NA,21.252,False,,21.252,6,single animal,left,2,FALSE
PKBB_15,260,M,1,stimuli/images/unity_stims/animate_05_right_pair_new.mp4,2,NA,24.206,False,,24.206,6,animal pair,right,3,FALSE
PKBB_15,260,M,1,stimuli/images/unity_stims/veggie_04_nopose_single_new.mp4,3,NA,40.695,False,,40.695,6,veggie,no_pose,4,FALSE
PKBB_15,260,M,1,stimuli/images/unity_stims/animate_01_right_single_new.mp4,4,NA,21.521,False,,21.521,6,single animal,right,5,FALSE
PKBB_15,260,M,1,stimuli/images/unity_stims/animate_03_left_pair_new.mp4,5,NA,26.958,False,,26.958,6,animal pair,left,6,FALSE
