SubjectInfo.age_at_birth,sex,SubjectInfo.language_list,subject_num,age,SubjectInfo.sessionNumber,fam_or_test,violation_type,fam_duration,Trials.ordinal,Looks.confidence,Trials.duration,exclude,Trials.excludeReason,LT,is_violation,block_num
39 weeks,m,en es,6QWG3G,229,1,test,background,fam9,1,0.3566520306390601,40.342,FALSE,NA,11.309,FALSE,1
39 weeks,m,en es,6QWG3G,229,1,test,pose,fam8,3,0.4514151130403791,40.329,FALSE,NA,18.510000000000005,TRUE,2
39 weeks,m,en es,6QWG3G,229,1,test,number,fam8,5,0.6135957243190757,40.28,FALSE,NA,3.7020000000000017,TRUE,3
39 weeks,m,en es,6QWG3G,229,1,test,identity,fam8,7,0.2914933813585533,40.262,FALSE,NA,5.205999999999996,TRUE,4
39 weeks,f,en yue,736KcS,212,1,test,number,fam9,1,0.2295496687293053,40.249,FALSE,NA,17.991000000000007,TRUE,1
39 weeks,f,en yue,736KcS,212,1,test,animacy,fam9,3,0.6429405575526539,40.283,FALSE,NA,9.366,TRUE,2
39 weeks,f,en yue,736KcS,212,1,test,background,fam8,5,-0.5333091630640193,40.215,TRUE,total on-look time in trial is less than the minimum cumulative duration (min_durationOn),1.348000000000006,FALSE,3
39 weeks,f,en yue,736KcS,212,1,test,pose,fam8,7,0.18496899430518857,40.175,FALSE,NA,6.169999999999997,TRUE,4
39 weeks,f,en,7MLRTD,331,1,test,background,fam8,1,0.638535136562011,40.315,FALSE,NA,18.682,FALSE,1
39 weeks,f,en,7MLRTD,331,1,test,pose,fam9,3,0.6522604628453081,40.3,FALSE,NA,6.597999999999999,TRUE,2
39 weeks,f,en,7MLRTD,331,1,test,animacy,fam8,5,0.7568178230414006,40.269,FALSE,NA,15.05,TRUE,3
39 weeks,f,en,7MLRTD,331,1,test,number,fam9,7,0.6840426105804822,40.234,FALSE,NA,6.488000000000013,TRUE,4
39 weeks,m,en,7MNDCD,314,1,test,number,fam8,1,0.8759421871663985,40.209,FALSE,NA,10.684,TRUE,1
39 weeks,m,en,7MNDCD,314,1,test,animacy,fam8,3,0.95747151578183,40.835,FALSE,NA,6.602,TRUE,2
39 weeks,m,en,7MNDCD,314,1,test,background,fam9,5,0.8032101950090733,40.144,FALSE,NA,35.625,FALSE,3
39 weeks,m,en,7MNDCD,314,1,test,pose,fam9,7,NA,40.201,FALSE,NA,40.201,TRUE,4
40 or more weeks,f,en,7SEAUR,207,1,test,background,fam8,1,0.6941362791157847,40.2,FALSE,NA,26.02499999999999,FALSE,1
40 or more weeks,f,en,7SEAUR,207,1,test,identity,fam9,3,0.7489783938020003,40.195,FALSE,NA,9.284000000000002,TRUE,2
40 or more weeks,f,en,7SEAUR,207,1,test,number,fam9,5,0.7550366220319721,40.187,FALSE,NA,10.981999999999992,TRUE,3
40 or more weeks,f,en,7SEAUR,207,1,test,pose,fam9,7,0.5429948650489923,40.181,FALSE,NA,18.538000000000004,TRUE,4
37 weeks,f,en,BJKPL2,299,1,test,background,fam8,1,0.7485970034221929,43.533,FALSE,NA,7.503999999999998,FALSE,1
37 weeks,f,en,BJKPL2,299,1,test,animacy,fam9,3,0.7110265539797022,40.286,FALSE,NA,7.188000000000006,TRUE,2
37 weeks,f,en,BJKPL2,299,1,test,number,fam9,5,0.8717365858162651,42.032,FALSE,NA,8.260999999999992,TRUE,3
