SubjectInfo.age_at_birth,sex,SubjectInfo.language_list,subject_num,age,SubjectInfo.sessionNumber,fam_or_test,violation_type,fam_duration,Trials.ordinal,Looks.confidence,Trials.duration,exclude,Trials.excludeReason,LT,is_violation,block_num
39 weeks,f,en,RHNRMG,366,1,test,background,fam9,3,NA,0.05,TRUE,total on-look time in trial is less than the minimum cumulative duration (min_durationOn),0,FALSE,2
39 weeks,f,en,RHNRMG,366,1,test,animacy,fam8,7,0.5553672039931808,40.12,FALSE,NA,28.111000000000004,TRUE,3
39 weeks,f,en,RHNRMG,366,1,test,identity,fam8,9,0.6571129146320195,40.258,TRUE,total on-look time in trial is less than the minimum cumulative duration (min_durationOn),0.13000000000000256,TRUE,4
39 weeks,f,en,RHSFBK,375,1,test,pose,fam9,1,0.7163513305811515,40.2,FALSE,NA,24.809,TRUE,1
39 weeks,f,en,RHSFBK,375,1,test,background,fam9,3,0.7641613929903398,40.221,FALSE,NA,23.68099999999999,FALSE,2
39 weeks,f,en,RHSFBK,375,1,test,identity,fam9,5,0.5332618172387058,40.195,FALSE,NA,38.676,TRUE,3
39 weeks,f,en,RHSFBK,375,1,test,number,fam8,7,0.7055575053983015,40.256,FALSE,NA,29.500000000000004,TRUE,4
38 weeks,m,en,Rd4463,208,1,test,number,fam8,1,0.6839299855114825,40.247,FALSE,NA,13.820000000000006,TRUE,1
38 weeks,m,en,Rd4463,208,1,test,animacy,fam9,3,0.5277539721861981,40.281,FALSE,NA,21.86600000000001,TRUE,2
38 weeks,m,en,Rd4463,208,1,test,background,fam8,5,0.6525817556791664,40.22,TRUE,total on-look time in trial is less than the minimum cumulative duration (min_durationOn),0.5010000000000012,FALSE,3
38 weeks,m,en,Rd4463,208,1,test,pose,fam9,7,0.4579042167117155,40.201,FALSE,NA,6.634000000000004,TRUE,4
36 weeks,m,en,S3Z7TA,252,1,test,background,fam9,1,NA,40.257,FALSE,NA,40.257,FALSE,1
36 weeks,m,en,S3Z7TA,252,1,test,pose,fam8,3,NA,40.173,FALSE,NA,40.173,TRUE,2
36 weeks,m,en,S3Z7TA,252,1,test,number,fam8,5,NA,40.229,FALSE,NA,40.229,TRUE,3
36 weeks,m,en,S3Z7TA,252,1,test,identity,fam9,7,NA,40.219,FALSE,NA,40.219,TRUE,4
40 or more weeks,f,en vi,SVH4QE,243,1,test,identity,fam8,1,0.9956375632262132,40.212,FALSE,NA,38.94600000000001,TRUE,1
40 or more weeks,f,en vi,SVH4QE,243,1,test,number,fam9,3,0.9516388092636529,40.184,FALSE,NA,9.628,TRUE,2
40 or more weeks,f,en vi,SVH4QE,243,1,test,background,fam8,5,0.9842973056714788,40.172,FALSE,NA,40.172,FALSE,3
40 or more weeks,f,en vi,SVH4QE,243,1,test,animacy,fam8,7,0.9177371754800216,40.106,FALSE,NA,33.64600000000001,TRUE,4
38 weeks,f,en vi,Sc34Ld,240,1,test,pose,fam8,1,0.5625288349774541,40.433,FALSE,NA,20.984,TRUE,1
38 weeks,f,en vi,Sc34Ld,240,1,test,animacy,fam8,3,0.6706893906396929,40.135,FALSE,NA,32.265,TRUE,2
38 weeks,f,en vi,Sc34Ld,240,1,test,identity,fam9,5,0.6170780403173418,40.215,FALSE,NA,8.767000000000003,TRUE,3
38 weeks,f,en vi,Sc34Ld,240,1,test,background,fam9,7,0.8076223129340321,40.191,FALSE,NA,28.114,FALSE,4
40 or more weeks,m,en fr,U3SM2X,291,1,test,background,fam9,1,0.6806079962520731,40.188,FALSE,NA,28.95,FALSE,1
40 or more weeks,m,en fr,U3SM2X,291,1,test,identity,fam9,3,0.6969526879712302,40.19,FALSE,NA,11.666,TRUE,2
40 or more weeks,m,en fr,U3SM2X,291,1,test,animacy,fam8,5,0.7849603520262286,40.124,FALSE,NA,30.168000000000006,TRUE,3
40 or more weeks,m,en fr,U3SM2X,291,1,test,pose,fam9,7,0.6172038372007728,40.183,FALSE,NA,4.227000000000004,TRUE,4
38 weeks,f,en de yo,UHZZRQ,333,1,test,background,fam9,1,NA,40.204,FALSE,NA,NA,FALSE,1
38 weeks,f,en de yo,UHZZRQ,333,1,test,identity,fam8,3,NA,40.497,FALSE,NA,NA,TRUE,2
38 weeks,f,en de yo,UHZZRQ,333,1,test,pose,fam8,5,NA,40.208,FALSE,NA,40.208,TRUE,3
38 weeks,f,en de yo,UHZZRQ,333,1,test,number,fam8,7,NA,40.247,FALSE,NA,NA,TRUE,4
40 or more weeks,m,en,WGQJCd,205,1,test,background,fam8,1,0.6656681101644447,40.28,FALSE,NA,27.415,FALSE,1
40 or more weeks,m,en,WGQJCd,205,1,test,number,fam8,3,0.6120102950175184,40.323,FALSE,NA,7.387,TRUE,2
40 or more weeks,m,en,WGQJCd,205,1,test,identity,fam9,5,0.8092613536135662,40.375,FALSE,NA,9.628000000000004,TRUE,3
40 or more weeks,m,en,WGQJCd,205,1,test,animacy,fam9,7,0.78386729903477,40.404,FALSE,NA,4.385000000000005,TRUE,4
39 weeks,m,en,WVTC63,311,1,test,identity,fam9,1,0.7781934994620799,40.189,FALSE,NA,8.471000000000004,TRUE,1
39 weeks,m,en,WVTC63,311,1,test,number,fam8,3,0.8934509721526885,40.265,FALSE,NA,14.846000000000004,TRUE,2
39 weeks,m,en,WVTC63,311,1,test,pose,fam9,5,0.7668525589443953,40.225,FALSE,NA,20.815999999999995,TRUE,3
39 weeks,m,en,WVTC63,311,1,test,background,fam8,7,0.5304761172996627,40.205,FALSE,NA,3.674999999999997,FALSE,4
38 weeks,m,en ja,WZVM33,315,1,test,pose,fam9,1,0.8003724039760678,40.187,FALSE,NA,17.972,TRUE,1
38 weeks,m,en ja,WZVM33,315,1,test,number,fam8,3,0.9075274127518432,40.178,FALSE,NA,26.202,TRUE,2
38 weeks,m,en ja,WZVM33,315,1,test,background,fam9,5,0.918728843098886,40.201,FALSE,NA,4.429000000000006,FALSE,3
38 weeks,m,en ja,WZVM33,315,1,test,identity,fam8,7,0.9086742246683628,40.245,FALSE,NA,6.645,TRUE,4
37 weeks,m,en,X7RSKU,265,1,test,number,fam8,1,NA,0.05,TRUE,total on-look time in trial is less than the minimum cumulative duration (min_durationOn),0.05,TRUE,1
40 or more weeks,m,en,XJEDQY,373,1,test,background,fam9,1,0.7631086712550108,40.184,FALSE,NA,3.3080000000000003,FALSE,1
40 or more weeks,m,en,XJEDQY,373,1,test,pose,fam9,3,0.6007626236365302,40.216,TRUE,total on-look time in trial is less than the minimum cumulative duration (min_durationOn),1.7010000000000076,TRUE,2
40 or more weeks,m,en,XJEDQY,373,1,test,identity,fam8,5,NA,0.05,TRUE,total on-look time in trial is less than the minimum cumulative duration (min_durationOn),0,TRUE,3
39 weeks,f,en,XLXT6Z,393,1,test,number,fam9,1,0.7510410991111529,40.262,FALSE,NA,27.022,TRUE,1
39 weeks,f,en,XLXT6Z,393,1,test,background,fam8,3,0.7219281075678854,40.327,FALSE,NA,36.102,FALSE,2
39 weeks,f,en,XLXT6Z,393,1,test,animacy,fam8,5,0.6096332826988307,40.211,FALSE,NA,17.391999999999996,TRUE,3
39 weeks,f,en,XLXT6Z,393,1,test,pose,fam8,7,0.6430245328353144,40.361,FALSE,NA,6.8870000000000005,TRUE,4
36 weeks,f,en,XMMHFY,344,1,test,pose,fam9,1,0.6918540285530169,40.206,FALSE,NA,24.215000000000003,TRUE,1
36 weeks,f,en,XMMHFY,344,1,test,background,fam9,3,0.8037913499006859,40.236,FALSE,NA,4.639000000000003,FALSE,2
36 weeks,f,en,XMMHFY,344,1,test,number,fam9,5,0.8427794202370912,40.22,FALSE,NA,13.109999999999996,TRUE,3
36 weeks,f,en,XMMHFY,344,1,test,animacy,fam8,7,0.7244182333660797,40.148,FALSE,NA,29.625000000000004,TRUE,4
40 or more weeks,f,en ru,YTV5Dc,271,1,test,animacy,fam9,1,0.7371960758506994,40.305,FALSE,NA,35.738,TRUE,1
40 or more weeks,f,en ru,YTV5Dc,271,1,test,background,fam8,3,0.8417186358030468,40.169,FALSE,NA,7.965999999999994,FALSE,2
40 or more weeks,f,en ru,YTV5Dc,271,1,test,pose,fam9,5,0.7219074782887641,40.211,FALSE,NA,26.467,TRUE,3
40 or more weeks,f,en ru,YTV5Dc,271,1,test,number,fam8,7,0.904938037487664,40.197,FALSE,NA,25.91200000000001,TRUE,4
39 weeks,f,en es,cFNHML,219,1,test,animacy,fam9,1,0.63712079694311,40.27,FALSE,NA,36.20200000000001,TRUE,1
39 weeks,f,en es,cFNHML,219,1,test,background,fam8,3,0.5733445266981355,40.167,FALSE,NA,7.917000000000003,FALSE,2
39 weeks,f,en es,cFNHML,219,1,test,number,fam8,5,0.7153482330940252,40.236999999999995,FALSE,NA,36.12300000000001,TRUE,3
39 weeks,f,en es,cFNHML,219,1,test,identity,fam9,7,0.5788598154350919,40.181,FALSE,NA,11.184,TRUE,4
