test_type,infant_lt,count,sd_lt,ub_lt,lb_lt
background,16.16188888888889,90,11.73194229869356,17.373811084245965,14.949966693531813
animacy,21.56161428571429,70,13.497258203908721,23.142580582697022,19.980647988731555
identity,18.003800000000002,70,12.435329027307292,19.460379979952563,16.54722002004744
number,21.19578947368421,76,14.034863699911295,22.773500565873555,19.61807838149487
pose,17.405013157894736,76,13.484193684452347,18.920821390882736,15.889204924906736
