param_id,mean_rsquared,mean_rmse
0,0.2554270319469073,2.670409026783478
1,0.2580304888861781,2.665736292768585
2,0.5054444911671583,2.1763647182448276
3,0.32520206500191845,2.542207685601565
4,0.33230401981009006,2.5287944850608604
5,0.20487325188049063,2.7595758561317996
6,0.34763204871855097,2.4995996984521467
7,0.30904106718350965,2.5724697278881075
8,0.3780609707356166,2.440608169287334
9,0.3027097379682469,2.5842287570541935
10,0.2599633434611587,2.6622618639110716
11,0.2688297194027805,2.646265532672686
12,0.2876242801075633,2.6120333000074236
13,0.2245715956701666,2.7251788365055836
14,0.2930161568113133,2.6021294585609276
15,0.2639155576502373,2.6551433551264587
16,0.2165148227814386,2.7392996822319793
17,0.2429248845457576,2.6927351569257905
18,0.3007494206473901,2.587858775406964
19,0.1549964427067103,2.8448110323763944
20,0.3817417637489844,2.4333753827738325
21,0.2526667494635071,2.675354320721014
22,0.21927841724705213,2.734464235965413
23,0.15526265935592712,2.844362871115503
24,0.45734774096750846,2.2797381269234993
25,0.3388464208781885,2.516374824433602
26,0.34149490650057573,2.5113296499885416
27,0.17502792889689495,2.8108895303930805
28,0.3787480030836879,2.439259773378619
29,0.31648721517036976,2.5585710173657685
30,0.3522697357274257,2.4906990181512905
31,0.19484193634431618,2.7769286952325856
32,0.20522426744337197,2.758966669606806
33,0.15302098743869585,2.848134400796197
34,0.30371626128524354,2.5823629445130423
35,0.29676661260576326,2.595218304350984
36,0.29048773220643925,2.6067783739786856
37,0.23251064439708438,2.7111923808468315
38,0.3309071692805191,2.531438279910583
39,0.416650734756722,2.3636789224067085
40,0.2684470531631446,2.646957918597212
41,0.2614021779658557,2.6596725205852274
42,0.2624173008510409,2.657844175931007
43,0.38339562517195436,2.4301185230687246
44,0.3173416355583636,2.5569713553729616
45,0.26131062011133543,2.6598373642635575
46,0.2359950226221125,2.7050310145014547
47,0.37122339008422284,2.453987486523613
48,0.45461468356134005,2.2854718446214455
49,0.19155214868410564,2.782596025359037
50,0.32167294675504565,2.548846748441063
51,0.12361348343679456,2.897156785058454
52,0.3409639165132287,2.512341959690648
53,0.18799610584925758,2.7887090810275694
