param_id,mean_rsquared,mean_rmse
0,0.01219825950193509,3.075806769411296
1,0.04331587673643519,3.0951121845601386
2,0.009065428150140314,3.080680397084293
3,0.0053172736926532325,3.094801985833626
4,0.03610685303026167,3.094739935098916
5,0.08260290900911575,3.0947399445261876
6,0.15771504841317166,2.840231081205956
7,0.1401583518241458,2.869679488247141
8,0.43585110708350727,2.3244543688398864
9,0.14029895525263275,2.8694448501183074
10,0.08835008956198612,2.9548687952903903
11,0.044200302075039576,3.0255727454012273
12,0.33972140881055785,2.5147091550370937
13,0.42602487334903644,2.344610422210842
14,0.38746525083903993,2.422085783356793
15,0.2765040899023089,2.6323412844236302
16,0.30667835121071235,2.576864220808265
17,0.3188289224493544,2.5541844389753656
18,0.014510236575792585,3.0722051556937062
19,0.06058952337081951,3.0947399380272715
20,0.011101189844570782,3.0947399265138293
21,0.293257656795757,3.0947399942393012
22,0.00530178733949008,3.094739916369847
23,0.33780392413142274,3.0947399888081084
24,0.42096034543741023,2.354931658863914
25,0.07045792208426294,2.9837242352379505
26,0.1739693742967223,2.812692334554401
27,0.06490341906874345,2.992625618562005
28,0.08912883295530818,2.953606481687158
29,0.1412223283336796,2.8679034538495456
30,0.38856608614596605,2.419908342328897
31,0.38447570345575355,2.42798922528949
32,0.38578738103914134,2.4254008323281866
33,0.2922786735406199,2.603486297737425
34,0.34224350934932196,2.5099017771022702
35,0.2495074324064869,2.6810033256630335
36,0.31151195837487333,2.567865991509363
37,0.0043107020630050175,3.0880624498695717
38,0.41269951253660386,2.371670412071241
39,0.008935881732548029,3.09473993022013
40,0.09137448273333887,2.949963343606512
41,0.012274015273927283,3.127363364953416
42,0.530741537138789,2.119972423717561
43,0.039364527181579935,3.0332168832923125
44,0.08854172204444326,2.95455821630817
45,0.008088807958775594,3.0821981126989555
46,0.33592111164748734,2.5219355974677278
47,0.0025536845699414123,3.094739912301749
48,0.3982171209793077,2.4007341416219563
49,0.25926470878338753,2.663518227144589
50,0.3146801070199312,2.56195102914757
51,0.33507630614281775,2.523539223145274
52,0.3357923350535102,2.522180109482203
53,0.21590660048950308,2.740362739935227
54,0.18718580155241188,2.7901001701006023
55,0.30682942906442867,2.5765834504567806
56,0.005508894286790588,3.094739918184071
57,0.010138496674440315,3.079011933448151
58,0.2590957515167969,2.663821976071979
59,0.06085688437238838,2.9990937690050683
60,0.29293616828007424,2.6022766575588534
61,0.25992475031455914,2.6623312819067455
62,0.08838470648918233,2.9548126940130097
63,0.22571696287996074,2.7231654436985435
64,0.4949253180297086,2.199388522800701
65,0.1431085625002025,2.8647521660793824
66,0.33237873810674945,2.5286529891491907
67,0.4458699783845158,2.3037216029207537
68,0.2871132890188182,2.612969945120934
69,0.3410930774169292,2.5120957574972644
70,0.30451089929360836,2.580888955215203
71,0.363651961754691,2.468718148321893
72,0.1054124717155598,2.927086620052409
73,0.05929599624211682,3.0015850327448335
74,0.0323812649753209,3.044221782628856
75,0.16060602626288017,3.1052816189608725
76,0.08846837599372691,2.9546770921923327
77,2.5480709368362438e-5,3.094700476281351
78,0.3316967073383956,2.529944274346196
79,0.3450805541098878,2.5044830555299296
80,0.36646055415422424,2.4632641435016303
81,0.1342404860531265,2.8795378487053673
82,0.1172334945943137,2.907683139295379
83,0.1291858279515698,2.8879315748193912
84,0.32698013178033986,2.538856166300033
85,0.4288150937059313,2.3389046439358734
86,0.3311886367392583,2.530905773495642
87,0.29811100565479004,2.592736438009248
88,0.3499921839612984,2.495074078588424
89,0.32395915071243037,2.544547862153021
90,0.37245135205417956,2.4515900722855775
91,0.02246648011875459,3.059778467766015
92,0.2716488209249021,2.6411591326516577
93,0.014269345745333784,3.0725806140999117
94,0.33187170078630884,2.5296130230552336
95,0.06378049037838736,2.9944219554103104
96,0.7203835790195747,1.636460364976167
97,0.0028679562865147417,3.090298928816889
98,0.27640349236311884,2.63252428328204
99,0.06550550607134896,2.991662022310859
100,0.20885206044600396,2.7526627480679156
101,0.0011298263761989182,3.094739908777582
102,0.48183065171129463,2.2277169768300182
103,0.5462936547665932,2.0845464714108894
104,0.33280070926618366,2.527853743116602
105,0.20774177570138094,2.7545935929741026
106,0.3442587078992878,2.5060539774165056
107,0.08763006611358802,2.956035446474131
108,0.16990775595757227,2.81959890296127
109,0.05774228816334446,3.004062784959237
110,0.35242919975404313,2.490392408004617
111,0.046086650664254596,3.0947399247060003
112,0.40157142007220964,2.394034023159117
113,0.0582515225928212,3.003250916336207
114,0.44497049679081624,2.3055905821157734
115,0.3533484225096813,2.488624231973928
116,NA,NA
117,0.1986802767193395,2.7703017163166272
118,0.276253941237874,2.6327963110106634
119,0.16084103528335109,2.834955682346143
120,0.44421332725155477,2.307162685920152
121,0.3622381469194906,2.471459080659223
122,0.19993883613453686,2.7681253319725525
123,0.3036711447881375,2.5824466067304632
124,0.36507367454488204,2.4659588322479387
125,0.28620828299728296,2.6146279950350353
126,0.29621852983613883,2.596229431968573
127,0.033191958670906484,3.0429462551627204
128,0.2320684643418003,2.7119732793466778
129,0.0010750474880284822,3.0947399082946
130,0.05514546134807861,3.0081994788029824
131,0.05301716954899676,3.011585568805208
132,0.2832822801538492,2.61998150683734
133,0.34255007622972056,2.5093168019280925
134,0.2598340155773376,2.662494480531276
135,0.25435380043489747,2.672332904783976
136,0.3709827627773374,2.454457001377584
137,0.3282475827977262,2.536464415022639
138,0.361732378782137,2.47243886451358
139,0.4790500273553239,2.2336862184486987
140,0.41874836462922693,2.3594253911201313
141,0.34091061960416785,2.512443545443888
142,0.42313345459365864,2.3505085299828274
143,0.18264962700545653,2.7978748695562357
144,0.48393351321951006,2.2231920635299565
145,0.12942402314164397,2.8875365775404593
146,0.49848527142937793,2.1916237639848797
147,5.400296987198206e-4,3.094739907824814
148,0.34144864969292,2.511417852839037
149,0.05225598156017009,3.0947399269786615
150,0.671242538480148,1.7744426360721866
151,0.4982419677499007,2.1921553191303462
152,0.2863044392152349,2.6144518783885453
153,0.16999475855898027,2.8194511369332
154,0.6635191133313851,1.7951649275702777
155,0.17970208521112302,2.802915199736896
156,0.4186305397531719,2.3596645172580732
157,0.5170241466262238,2.150734809324049
158,0.37169550759665476,2.453066024107931
159,0.27971667861360483,2.626490499149113
160,0.31420787483810153,2.5628335567040827
161,0.49645317529570826,2.1960594142718954
