param_id,r2,rmse,r2_lb,r2_ub,rmse_lb,rmse_ub
0,0.3390808123002165,4.730326892458573,0.24049745055875765,0.4205702903825244,3.595437641146635,7.128273990522695
1,0.2281730397208627,4.514937516984514,0.14534964296307773,0.31397434897595117,3.578655066969871,6.329977464009889
2,0.38448207499074133,4.689964164722652,0.25796315567199707,0.4900509606067506,3.6348191729013744,6.458137650725986
3,0.38040781258898737,4.3634019190804345,0.274289646727201,0.4833219640249069,3.536406223021676,5.52530464802712
4,0.151035094543993,4.616141998354709,0.10669256206191857,0.2163959581685631,3.626326640986496,6.591296557151374
5,0.38253205303256116,4.351151879473549,0.27465454672430867,0.47376729512085647,3.570818964952493,5.576144790536819
6,0.14307004311706725,4.388940777704433,0.0847597008540441,0.22729934570506027,3.304246792069187,6.264136917872997
7,0.08853024912996585,4.2942917636519,0.04871228388862413,0.1829544803922264,3.3229657447093364,5.85052210349505
8,0.03861995510522134,4.651449108241762,0.0013845598343937698,0.1546245110833383,3.6946157505650694,6.37552082725359
9,0.08202398178971933,4.519842271551737,0.038679079520041876,0.1889114823948374,3.607017001637878,6.078533568847332
10,0.031142350999723005,4.492184150838844,7.601289846395078e-4,0.1379047460201123,3.55140681561568,6.001402768944318
11,0.2649232015935343,4.332916605207785,0.18948869560871806,0.3532753234224875,3.5069980973474655,5.6250482614310595
12,0.20585665911134843,4.232393380560739,0.13781475356822076,0.2753045956875838,3.126679989558106,5.487232420647247
13,0.3451962915815118,3.9461942549025557,0.22241252746495926,0.45701174555127105,2.811992106236362,5.733675893843361
14,0.175216940887689,4.30638501586354,0.10326516243092204,0.2590067281503117,3.265618932681522,5.942139019483735
15,0.12634226608778548,4.473184883958925,0.05767127377609932,0.23242645939876105,3.525714941677908,6.260282686268333
16,0.18537398450622658,4.274192104969453,0.11542563107594478,0.2911136730021801,3.310060679242845,5.441253040216104
17,0.14146764765856218,4.361627014569163,0.0973414908541955,0.1998725708494304,3.3288438911856977,6.211265667036882
18,0.27290534422487434,4.739524802505046,0.18617962055891482,0.34741480582900364,3.6079285086941972,7.461270217527945
19,0.25321897985038044,4.376302819509659,0.15985675061761867,0.321542740567161,3.5272060271657084,5.647547064052076
20,0.2658161481148351,4.715354810098296,0.188874764270064,0.35510330866314954,3.704936523126687,6.486447066804171
21,0.21151042228364975,4.436055891543463,0.13456602012967483,0.2810953340691371,3.5573596871195035,6.026434887853519
22,0.34657425721064544,4.759455381074079,0.21423285283553273,0.44310001653843156,3.5963779681870585,6.552865146921784
