param_id,r2,rmse,r2_lb,r2_ub,rmse_lb,rmse_ub
1,0.3446899869696927,3.9092451734246727,0.24213551889592058,0.4672297083946635,2.9343961045035734,5.197952767771092
3,0.3652495651616543,3.87438818233592,0.26783537630715404,0.4828088644374709,2.8653656329522295,5.271855190244919
5,0.3272138170581104,3.9495765270187055,0.23417869941130354,0.42878259536545144,2.8303578769254347,5.822341834371057
7,0.3721840691563464,3.905283946736724,0.2605074079649776,0.48968052381771454,2.7691958014340976,5.3751447690655745
9,0.3078903834813676,3.973857424000423,0.22158342987962365,0.4179615299985149,2.8026484427059533,5.678855340028239
11,0.3700479887751689,3.814466808882906,0.2647854020599097,0.48427641017539486,2.7119178460755142,6.574732029270747
13,0.3408766236230251,3.9955753468047583,0.2312252238157103,0.44779992020909565,2.8273489509948666,5.68772629706829
15,0.3472836800259857,4.082352986535317,0.23809159707941968,0.4583026620515503,2.9952905362321083,5.634814758886124
17,0.3138876125014776,3.891250633828983,0.2191025233652544,0.41591939968712743,2.9434856709248605,5.292180994834251
19,0.3278527181235279,3.8291176284577877,0.21516009704060607,0.4352650490456505,2.691027886861886,5.134318425063395
21,0.3142936413115998,3.912936033754561,0.23383769538585447,0.4057825926365048,2.9918559201774615,5.482730078438236
23,0.3533471984321277,3.9906163068037652,0.23604908438682598,0.4813618952783164,2.7189809488946985,5.8720891359569425
25,0.3340952842317875,3.9725655054477538,0.23814103638455272,0.41640791616691974,2.8267499959327003,6.576502883293536
27,0.3322032380015212,3.8423147274261114,0.242993766625148,0.4450807740762911,2.8577561721197915,5.137525628756008
29,0.3260151740990267,4.009134150194419,0.21130549042318125,0.4176506073690902,2.9197420409922934,5.864118540667571
31,0.3533965883739109,3.85539571459781,0.24446128117851107,0.4906508922961083,2.693435013484587,5.84029162768603
33,0.30289911844490636,3.9703186749465167,0.2167050987635009,0.39703931908115264,2.821942634643692,5.44253496146411
35,0.3392116517607379,3.9185999831599423,0.23842318362648107,0.4300628720578266,2.790515281550271,5.519919171767415
37,0.35669741377211683,4.01800238090405,0.2375155676930058,0.4803323619830896,2.7920646718625126,6.001188649439983
39,0.3329643162757418,3.944227683235539,0.22750155248736345,0.4132613025103788,2.8919817759180746,5.550760680695793
41,0.2986144719655043,4.0276016151313,0.19226854313314895,0.38969787877975415,2.8353878355091497,5.613551163904693
43,0.3658680525786708,3.887778666339888,0.2606820125934098,0.48582837448479466,2.632996820451857,5.519717602750335
45,0.32552155602246874,3.939082725283221,0.23839322745225824,0.4162183504930296,3.012151530695272,5.386439396743209
47,0.3554698337243209,3.7324445312184893,0.23260685019082797,0.4765723327941892,2.642978345277137,5.711577146376493
49,0.3480269771720947,3.964954825175708,0.23898057785073867,0.46023694696100026,2.917572518070286,5.625349303946775
51,0.3492560123309732,3.8699338562646326,0.22725982794906308,0.46615031797988904,2.6387167239674696,5.281648443272133
53,0.34803213189683685,3.7758840389492874,0.24070567965351009,0.46034931147982894,2.756973732831028,5.276479582494828
55,0.38034000867799556,3.7427996646629373,0.2677397042617115,0.48050019080849377,2.745855751511497,5.073218944333372
57,0.3080199984991781,4.0446629077730325,0.202725161870208,0.39896232906270523,2.8890575818462385,5.950225256472081
59,0.3337400927067339,3.908443385931261,0.23332352042487725,0.4360564860572023,2.8736300622708164,5.2728686976157935
61,0.3359070241348466,3.961928671256094,0.2122655567951986,0.44790887699370874,2.76292756463286,5.992423526944625
63,0.3553828135687535,3.996076645457271,0.24319409696639077,0.4434685565065579,2.8571086249880544,5.58036851679398
65,0.3506630305664579,3.8332234752580305,0.2403980836967718,0.44973265158322456,2.782546483119309,5.803445568077307
67,0.3307847230271295,3.9390096634678047,0.2194644319085821,0.4316325740050339,2.776755288232292,5.824782623850426
69,0.32800844103676907,3.8186349061860407,0.22937540964547531,0.4463332991453999,2.723386154357964,5.235404214671958
71,0.3595199978516528,4.093435918472649,0.22129511510121436,0.49947598281693295,2.81674193148251,5.655693530697741
73,0.3436246675288157,3.9431770580247356,0.22548525031062813,0.43914301477303197,2.920950695221813,5.322438136589266
75,0.3406440347723431,4.012401322350224,0.2084085887057751,0.45292728703357127,2.8392782283419864,5.74671417041341
77,0.3135521590879629,3.9647620450836816,0.2299837349953659,0.39155049640493395,2.903937469480046,5.553850083650769
79,0.3677696139065575,3.7755157800462418,0.24031457948776774,0.4785046978249819,2.644047260459933,5.037170127295244
81,0.3415606520640556,3.988026054923285,0.22747374847260277,0.4523992923543027,2.882832981344663,5.810613990379023
83,0.32909493889502367,4.027168680215517,0.22093322392753306,0.4207389712193226,2.904974228941694,5.858329072600069
85,0.322971516098588,4.006266258415126,0.20095198690038424,0.421653118211343,2.935623110022892,5.925971037414099
87,0.3625250273825135,3.9101369889419453,0.21649809102809636,0.4878180652065268,2.8411695193182815,5.296433634891517
89,0.3114612496386052,3.989763441104139,0.21383054761930093,0.4094581378501132,2.805997663203211,6.118775354686978
91,0.3368611772929215,3.907442960178502,0.23947935727290595,0.43743300231882964,2.8327226725581314,5.60601708698697
93,0.3330148981077275,3.802689705485862,0.21946326039895125,0.42910178118363423,2.852454722183226,5.387312932285788
95,0.34670334250116436,4.08814014362672,0.2210453885349077,0.47000505177980423,2.7686075692400536,5.983537424519746
97,0.32543696848612486,4.02369930281608,0.21040263364065848,0.4361249455803502,2.920663742905429,5.963134977695857
99,0.3666133704385665,3.8657035064674825,0.2576243800704195,0.4793161015032991,2.645076440845146,5.871709437826359
101,0.31247577538069565,3.9171125068321104,0.21285503873657913,0.4059210862744915,2.926523889541894,5.6426943121265865
103,0.34969813302434477,3.8445330688183894,0.21931458358557568,0.4533368439242691,2.7781430625442436,5.639310367304013
105,0.32568048403471234,3.8258701874820753,0.2312094843484262,0.4065807180106627,2.7590818396577115,5.659107579073565
107,0.3496560070180806,3.8718011906204386,0.21592838535795478,0.44260843862762445,2.8706747007553424,5.049511985177544
109,0.3473496332935123,3.8738386533373967,0.22093695560640825,0.453639695110977,2.6870147941940994,5.579152604023104
111,0.37434102347903697,3.884326059399768,0.23719944530750514,0.473013522036055,2.71042293594232,5.603168366121693
113,0.3257924595966737,3.926745766915101,0.22603044506259223,0.41205937118806973,2.7512943660286067,5.638805538244083
115,0.3686621689647601,3.8500237115443112,0.2611770108041365,0.49259027353199747,2.872646567290427,5.268040419383918
117,0.3171410306728213,3.904333088312813,0.21886780950081425,0.41820743420392914,2.8665737704823693,5.76118244155626
119,0.3569472654715154,3.9172365646071805,0.23253647514182646,0.4724050604704032,2.762644040637766,5.965902840406697
121,0.33182751304103075,3.9492818088821524,0.22924769535280248,0.43225662606831994,2.7977105351255656,5.569730434716411
123,0.31737221890163886,3.9684292318747407,0.2359863423220537,0.3989182520622768,2.9301874223502926,5.918575493797094
125,0.34337115977734994,3.8749017239686045,0.21338731240259384,0.4575986906140162,2.8029773882228337,5.471878018915689
127,0.35961962215507814,3.8301390493542335,0.23677324132769734,0.47081530557727846,2.692144848941502,5.817511572232527
129,0.33135549961438254,3.865164544003709,0.2424094878188862,0.41550989365034985,2.8735060541958815,5.495567711212394
131,0.358764084303746,3.795530268540863,0.2444813967658866,0.46269384367724564,2.692047117604849,5.303040157181586
133,0.3183167885995502,4.07825334892296,0.22412562649892318,0.3949355711240833,2.9419983758310524,7.006291633330029
135,0.3348674599719313,3.879813789955155,0.22627739184757706,0.45203737614671535,2.841782974102068,5.440395600893053
137,0.2927055531588249,4.041574030135812,0.19855864409775803,0.38260413514173885,2.896088503051473,5.4494679110005775
139,0.37227736773428954,3.7622737917761007,0.23484960378027125,0.48258530607618083,2.752322649522103,5.762704706564838
141,0.3004162516873502,3.920120243328259,0.21045007761571616,0.38887621259907057,2.7765662538284754,5.417825530983075
143,0.3692842585574929,3.833757354462309,0.25768168908278316,0.4882856660146785,2.7721587500186997,5.836097744623281
145,0.37808279326546873,3.658206199045421,0.2745696961003813,0.48438606099248577,2.604465996504174,4.834604329679092
147,0.385599596614882,3.707923593289087,0.23884655516077535,0.49676186188671934,2.552558957781734,5.294885646511093
149,0.33490104027786566,3.7909250236333505,0.23659924057989737,0.44122384300375894,2.868260438935482,5.330774235199559
151,0.3168203594371573,3.9929808630362196,0.212901956776833,0.40557181397714237,3.027216110470586,5.6553934809890425
153,0.3259858419889379,3.8572023014431087,0.21273965375497822,0.4263070663145849,2.9568370727881184,5.220477304187409
155,0.36345886476877937,3.7700084209303304,0.27775826559163164,0.476234921658445,2.727761039200626,5.111467074080941
157,0.3337303786272086,3.8135609010527816,0.21190253766109596,0.44768170520392087,2.8482984875388597,5.045307568671786
159,0.35904289176320875,3.873693145645432,0.2537072283975734,0.4758415237704112,2.827570874627106,5.65291312050039
161,0.2790330233957145,4.002173240467071,0.19310912847013112,0.35349570520238405,2.9978462607360195,5.658898409089726
163,0.34403286972626895,4.027582459167791,0.2344307823303516,0.45146781582742723,2.7418293496607427,6.006722022897932
165,0.3205648055476153,3.98839324606858,0.22705815481462824,0.42225049010596283,2.8765496305470455,5.584405479954816
167,0.3400084900584599,3.8924687133492952,0.23906611962546614,0.4408924611078773,2.8868874053287916,5.3634271944615595
169,0.33457311426022757,3.9448874870388155,0.24659155953906897,0.43355173950550874,2.99306532349983,5.59956213598258
171,0.36861467471916237,3.8938926464715475,0.2178527976534309,0.48370471858275693,2.728402763220128,5.285079096785741
173,0.2983911300060879,4.110737034349276,0.17965588086136208,0.3899685733423645,2.9602403660471373,5.697975495577806
175,0.34466603248401034,3.81244443266723,0.236366564738621,0.4600262840655328,2.7985691750932378,5.494795432862745
177,0.29440986079295606,3.9597950973503107,0.20521133294698457,0.39199449374205597,2.9805921724881186,5.468984830566836
179,0.36505487047610524,3.876833325982866,0.2469956640080599,0.47234980079634736,2.83339680280372,5.204996382810747
181,0.3128532530471211,3.9097077574176353,0.21296843856805778,0.4200669469711722,2.855961890440027,5.4178814073779105
183,0.3384811195278936,3.926363198441889,0.23340937290616603,0.4496689850040535,2.7992789479073776,5.631277338986234
185,0.31785412532977697,3.892044023647142,0.21988597040679717,0.41216183721769256,2.7696997411214843,5.5602704818014725
187,0.34069033113789,3.953016165542761,0.2328879536164624,0.4488797537617442,2.811770180783465,5.747236483810418
189,0.32554719454971254,3.788769165435415,0.23696409334660798,0.40224622072109295,2.8502470090600442,5.452974974917749
191,0.3638142493635811,3.827445034609612,0.24852243673295443,0.48375077610872336,2.8304932043227446,5.804647244518625
193,0.34373656428199845,3.8574834784259497,0.22846697123562731,0.44394601281158214,2.853104915843239,5.608057206104132
195,0.3576377027393419,3.8530864836086582,0.2560624357807798,0.47507436523977603,2.8958981958852736,5.427437888001009
197,0.3378595226499596,3.963297603334603,0.23693059036405462,0.4337971429168672,2.8231245921943176,5.742291414415472
199,0.3694954388699807,3.8107437618510223,0.2528506488958385,0.49630703018104283,2.7428475437954125,5.424020194834473
201,0.3162238325993284,3.9285051743289343,0.20239893160600858,0.4143031108970445,2.8781602641714588,5.517132287961425
203,0.37462339521513477,3.744064681653413,0.264356719181119,0.4825537144137104,2.778356664804493,5.144917330203921
205,0.31579445067057504,4.120539372859036,0.2062369783590941,0.40799330079256996,3.0124196691282457,5.953608021340015
207,0.33266276703237535,3.986699473753515,0.22594137685780968,0.4411638315915538,2.8041597715356406,6.023477814761726
209,0.3209496711598835,3.9368670609407745,0.22676169560524856,0.41118642558760615,2.9586219825081956,5.66595500770224
211,0.32565504086425834,3.9355759496280545,0.21822689259286565,0.4278666828507405,2.8545607450914594,5.436900642452239
213,0.3055969467300162,3.9882048163331802,0.20355166627251817,0.4144288067819877,2.9424634521822797,5.847317900102402
215,0.3703448707733182,3.920540930464699,0.24522182406426737,0.4822079973210665,2.8039650347442047,5.9412566205660085
217,0.3612109350797391,3.884666016004311,0.253163539234605,0.47766944250564863,2.6893846999579276,5.342839523619819
