mean_rsquared,mean_rmse,ub_rsquared,lb_rsquared,ub_rmse,lb_rmse
0.3673523668376154,3.4236666283237174,0.46457511498139636,0.27012961869383445,3.9574211898326315,2.8899120668148033
0.3861380994566347,3.457715409919266,0.469447476510282,0.30282872240298736,3.7669439099221522,3.1484869099163797
0.3360594738033448,4.1746461000504675,0.3503371464393364,0.32178180116735317,4.578297337069479,3.770994863031456
0.4343000934349719,3.260051563916287,0.6132684309858476,0.2553317558840962,3.5686328129261606,2.951470314906413
0.24138879799915608,4.717543732241283,0.33909424725369897,0.14368334874461317,5.243644353562696,4.191443110919869
0.2520305362646077,4.81678341855903,0.2635911316406728,0.24046994088854257,5.473192700614918,4.160374136503142
0.23588180633699116,5.231525852537551,0.28749114606564236,0.18427246660833996,5.358645670668664,5.104406034406439
0.4139367929592984,3.1858714084423383,0.42598468575659953,0.4018889001619973,3.510922752196843,2.8608200646878337
0.25699403927717246,3.7495526851694967,0.3246320235739623,0.1893560549803826,3.8636977205275382,3.635407649811455
0.3245145687306456,3.851927414031149,0.4283571788740759,0.22067195858721536,4.098683148388698,3.605171679673599
0.3846171457015681,3.5781997715293454,0.5330486011005435,0.23618569030259268,4.421806202123361,2.73459334093533
0.5524894201113006,2.7789272121986475,0.61304905014116,0.4919297900814414,3.3449691119137213,2.2128853124835737
0.39677749678576174,4.348551953407915,0.5220002236646175,0.2715547699069059,5.115734731380564,3.581369175435266
0.5469830784055412,4.3325180443421445,0.6793559663434461,0.41461019046763625,4.547153551325001,4.1178825373592876
0.46591996495625654,3.5299462906630508,0.8588362730526664,0.07300365685984672,3.5594807544404903,3.5004118268856113
0.2677293207179499,4.660118647822978,0.5778970420651118,-0.042438400629212,4.81360473623019,4.506632559415766
0.259817301290027,3.7230190293347967,0.2820592873868639,0.2375753151931901,4.285628787426709,3.1604092712428846
0.3697701561493243,3.9226690322700652,0.7637342098842406,-0.024193897585591928,5.260787480656971,2.5845505838831597
0.4585116812624549,4.056742117097514,0.7605218174456434,0.1565015450792664,4.459587447943379,3.6538967862516483
0.4541199897437177,3.3161981470390804,0.8004506280744439,0.10778935141299151,4.937393655611229,1.6950026384669323
