param_id,r2,rmse,r2_lb,r2_ub,rmse_lb,rmse_ub
0,0.2473301397053003,4.15288428599189,0.1799524060016891,0.32937060762962334,3.119858267012114,5.412339928167331
1,0.3456951906520308,3.8832104770848255,0.2494321452659827,0.45461011034692267,2.8465617388229987,5.524955945496304
2,0.3784286694818899,3.7441138109190955,0.2545964577440073,0.4877568201595928,2.634560619671235,5.219787880048498
3,0.3654842087733919,3.8991878635221022,0.2535199913120689,0.4668762942407557,2.879779894588206,5.517251237905434
4,0.37871509028399425,3.841365363330142,0.261283229622565,0.49071371703230215,2.634922772354055,5.450877653012691
5,0.3875018005495683,3.745184036112299,0.25682969481905227,0.5000292976973406,2.6415256879919173,4.999454524358999
6,0.28910725682323823,4.043962357222359,0.19722769836666326,0.3807820819038975,3.0420311579873927,5.6307369472356985
7,0.39398568184855715,3.772502070134053,0.2700371328535015,0.5129117224692775,2.5818845643678676,5.300227885050601
8,0.36289402487013667,3.9288328039566673,0.2569151284278264,0.5006339339749596,2.7479038281389663,5.713094435378689
9,0.2990895180391247,3.9877663769297103,0.20384771639240068,0.3905179451635935,2.9539887142247165,5.806449666840033
10,0.3359438160772324,3.7866227032225535,0.22484807506336807,0.4352781138653073,2.7909732558718128,5.4643401442340025
11,0.3478780172524695,3.9316166929393113,0.24156883300686133,0.4740286044557783,2.79355089904789,5.5494178156388845
12,0.3230080985270789,4.036627364611815,0.21087122356836382,0.41473436629065374,2.966733671522798,5.618900868067491
13,0.3103548346788167,3.9941800687710782,0.21188037090174194,0.42460982413662596,2.9588284380824392,5.883152418515903
14,0.3667201017289262,3.7756851691197113,0.2712333662149081,0.4814379939377138,2.7383448541370994,5.009191751974209
15,0.3915484782524133,3.7084964491897567,0.2890040650384074,0.5079393698233147,2.742004591881485,5.115181691191827
16,0.34354014352111645,3.8305553614146324,0.22269516529065306,0.43595727412629787,2.754640525492487,5.519631379734152
17,0.35122324556151946,3.9118814539255804,0.22328789072715938,0.47015468781865555,2.792355640702627,5.261153804781944
18,0.3279135778599874,3.9994096846647404,0.23005924542024464,0.41009833603359436,2.879744452794294,5.528371663657648
19,0.3185981162419056,3.9580824821979936,0.22863173036576181,0.41330610637811493,2.791897303874591,5.653313735250318
20,0.34424504599400835,3.926155213600597,0.23934371993369707,0.4541878511165105,2.7145410011419266,5.955238512308984
21,0.29839569767240764,4.102507261670544,0.20713918636491802,0.39717399533798226,2.936565447601745,6.271186994171513
22,0.3695483031860319,3.742158059801731,0.25581656895898974,0.4826914893582638,2.688068401328583,6.327608862573312
23,0.39661924618113303,3.843613029034297,0.2954184039951123,0.5069388301674239,2.624713677112524,5.542174110849799
24,0.2890359137392219,4.025116697040704,0.18186740597767032,0.3956761775278303,2.8659955606331327,5.749658759911448
25,0.30992059889928725,3.929887130477918,0.22583232517469654,0.3987884765705424,2.960253885875325,5.74887475807013
26,0.3434886255670901,3.9207227573981416,0.2549243108553684,0.4451728166444935,2.8567045668835744,6.102179622047176
27,0.3194093717622834,3.994445105739633,0.19867209009823383,0.4057479419394138,2.909802524193129,5.687733714931098
28,0.3386631004768923,4.03961132370321,0.21906120033127585,0.4506245062967588,2.936654303237857,6.604818010419576
29,0.3639117299683918,3.9642389117805337,0.2694703310656294,0.4710664902789206,2.839704782632481,5.958433870106986
30,0.28834478644291567,4.091805507268883,0.18588437340001868,0.37967752076591665,3.0733667542489087,5.562453023968418
31,0.4572603372509151,3.777723105361218,0.31385544224158624,0.6026187179582497,2.5505406992449986,5.8383657097011294
32,0.37471163235085736,3.9317130145997874,0.26756232819552833,0.49258318567097603,2.761299060826402,5.548994984382629
33,0.3873423803741547,3.8380086675226757,0.2732005841817732,0.5145838357617538,2.75076835254466,5.638023426156963
34,0.3142110530637077,3.961121452098965,0.2261702132613061,0.4170116411196737,2.9115033707017335,5.849696822416735
35,0.4006371636990823,3.732866146818839,0.26692051453609855,0.4972124284649799,2.6194319622550597,5.542793986903198
