param_id,test_type,trial_number,count,sd_sample,ub_sample,lb_sample,fam_duration,LT,scaled_samples,scaled_ub_sample,scaled_lb_sample,type
1,Familiar,1,40,412.0470878814446,84.74598577463016,71.97651422536984,0,20.15585185185185,19.31648047302498,21.585072596804643,17.047888349245312,EIG
1,Familiar,2,40,408.2137759092719,85.82908799024126,73.17841200975873,1,18.24706896551724,19.722427812571446,21.96991501508404,17.47494061005885,EIG
1,Familiar,3,40,409.1490045139263,79.40857950760714,66.72892049239285,2,19.06634375,17.435976057664206,19.68861231306142,15.183339802266998,EIG
1,Familiar,4,40,428.0311166750675,79.0999108667806,65.8350891332194,3,16.999148148148148,17.222342939150153,19.578937727901717,14.865748150398582,EIG
1,Familiar,5,40,424.0807054522077,77.58244861070382,64.44005138929619,4,16.70561403508772,16.704915531522545,19.03976069007542,14.37007037296967,EIG
1,Familiar,7,40,421.1990840695794,70.8790474247794,57.82595257522058,6,14.148833333333332,14.338962054756637,16.6579419790569,12.019982130456375,EIG
1,Familiar,9,40,409.00298223079534,66.89381686888838,54.218683131111625,8,10.004521739130434,12.990097645344582,15.241929951360403,10.738265339328764,EIG
1,Familiar,10,40,373.3055436868952,63.79317932796859,52.22432067203141,9,11.712538461538461,12.084932789769416,14.14022705364986,10.029638525888972,EIG
1,Novel,2,39,384.4984566391583,82.9183801288637,70.85085064036707,1,18.61582142857143,18.791810106637577,20.935696973488234,16.64792323978692,EIG
1,Novel,3,40,421.8770680261203,82.38080289502605,69.30669710497395,2,19.665555555555557,18.42197506619064,20.744687741210647,16.099262391170633,EIG
1,Novel,4,40,434.6631151641585,86.27142474803578,72.8010752519642,3,17.75825,19.733975548707342,22.127083881613842,17.34086721580084,EIG
1,Novel,5,40,442.416864030913,83.92157033147286,70.21092966852713,4,15.318249999999999,18.85634760237931,21.292145458221952,16.420549746536665,EIG
1,Novel,7,40,447.3114421918911,81.74616260582746,67.88383739417253,6,17.72639285714286,18.056444803119803,20.519190553491462,15.593699052748144,EIG
1,Novel,9,40,441.5334671704727,77.00288195530437,63.31961804469561,8,21.68012,16.402897817199126,18.833831988237996,13.971963646160253,EIG
1,Novel,10,40,465.4671761845975,80.43873861867203,66.01376138132795,9,19.767214285714285,17.49193816355354,20.05464325437113,14.92923307273596,EIG
2,Familiar,1,40,138.946809209401,43.91050311450138,39.60449688549862,0,20.15585185185185,17.89503371347859,18.374327096164972,17.415740330792204,EIG
2,Familiar,2,40,155.04459460358325,41.8449408834394,37.040059116560606,1,18.24706896551724,17.379677198921968,17.91449947111102,16.84485492673292,EIG
2,Familiar,3,40,155.4472071493287,40.204929429469054,35.38757057053095,2,19.06634375,17.01319527145379,17.549406345084634,16.47698419782295,EIG
2,Familiar,4,40,160.57310189639975,35.32810599145954,30.351894008540462,3,16.999148148148148,15.909853705461892,16.463746418898623,15.355960992025162,EIG
2,Familiar,5,40,152.38806072862656,31.713777464580737,26.99122253541926,4,16.70561403508772,15.133479690552083,15.659138318650319,14.607821062453844,EIG
2,Familiar,7,40,148.28075255726003,26.906384065099417,22.311115934900585,6,14.148833333333332,14.077444068120997,14.588934644153909,13.565953492088084,EIG
2,Familiar,9,40,128.18627482157197,21.86126690672146,17.88873309327854,8,10.004521739130434,13.02363460773983,13.46580980861548,12.58145940686418,EIG
2,Familiar,10,40,131.27377980068178,21.41660829202484,17.34839170797516,9,11.712538461538461,12.91399612678124,13.366821595294692,12.46117065826779,EIG
2,Novel,2,39,199.20754186737537,54.41710175954634,48.16494952250494,1,18.61582142857143,20.017351011878215,20.713266213899605,19.32143580985683,EIG
2,Novel,3,40,243.94650513672264,55.051240259003045,47.49125974099696,2,19.665555555555557,20.012948633721802,20.854435720088013,19.17146154735559,EIG
2,Novel,4,40,228.23475333870377,52.245284142609414,45.17221585739059,3,17.75825,19.442494608429648,20.229784418082204,18.655204798777092,EIG
2,Novel,5,40,242.9435823612682,51.76694980959334,44.23805019040665,4,15.318249999999999,19.285271913654004,20.123299444148756,18.44724438315925,EIG
2,Novel,7,40,266.07141403845145,50.899069274253705,42.65343072574629,6,17.72639285714286,19.01228879228249,19.93009517298497,18.09448241158001,EIG
2,Novel,9,40,266.7982334432165,47.27283145761037,39.00466854238963,8,21.68012,18.202522346623873,19.12283587184514,17.282208821402605,EIG
2,Novel,10,40,266.96852761485223,47.49922019313801,39.225779806861986,9,19.767214285714285,18.252332722490845,19.17323367300125,17.33143177198044,EIG
3,Familiar,1,40,300.3009280179151,79.32321108839454,70.01678891160546,0,20.15585185185185,17.100933439890486,17.92475421460704,16.27711266517393,EIG
3,Familiar,2,40,294.974423512134,81.96817604598799,72.826823954012,1,18.24706896551724,17.58381958460967,18.393028066592244,16.774611102627095,EIG
3,Familiar,3,40,316.3402398817151,79.39424280059225,69.59075719940776,2,19.06634375,17.06950821874011,17.93732991750565,16.201686519974565,EIG
3,Familiar,4,39,286.9778599565882,73.52777599434174,64.52094195437621,3,16.999148148148148,16.101409396136035,16.898710104785803,15.304108687486266,EIG
3,Familiar,5,39,313.4739853220426,70.31792698120103,60.47950891623486,4,16.70561403508772,15.459513221247853,16.330427202829355,14.58859923966635,EIG
3,Familiar,7,40,304.58166306211575,62.67204176511148,53.23295823488852,6,14.148833333333332,14.14120873802321,14.976772927865873,13.305644548180547,EIG
3,Familiar,9,40,322.94872902513083,57.93289240076212,47.92460759923788,8,10.004521739130434,13.251786457717799,14.137737340038543,12.365835575397053,EIG
3,Familiar,10,40,294.55760315929274,52.58796734770653,43.45953265229347,9,11.712538461538461,12.383388092970737,13.191453104407744,11.575323081533732,EIG
3,Novel,2,40,400.0704345881847,95.95415560918114,83.55584439081885,1,18.61582142857143,19.771634628924005,20.86915483153878,18.674114426309227,EIG
3,Novel,3,40,376.1248882737586,94.75311552494504,83.09688447505496,2,19.665555555555557,19.624688524389843,20.656518492059412,18.592858556720273,EIG
3,Novel,4,40,408.5286886788788,96.9727176141608,84.3122823858392,3,17.75825,19.92876073467589,21.049484613295725,18.80803685605606,EIG
3,Novel,5,39,438.5230024573517,95.48795837729708,81.72486213552344,4,15.318249999999999,19.56828428129942,20.78661764217737,18.349950920421477,EIG
3,Novel,7,40,393.381099537947,85.44800328870649,73.25699671129352,6,17.72639285714286,17.929939626012427,19.009108859085423,16.85077039293943,EIG
3,Novel,9,40,467.0111967552136,92.6464134652828,78.17358653471719,8,21.68012,19.002380623862642,20.283540587141992,17.721220660583292,EIG
3,Novel,10,40,462.8834654981521,90.61620360681002,76.27129639318997,9,19.767214285714285,18.654268843091202,19.92410512920292,17.384432556979483,EIG
4,Familiar,1,40,149.3999577256334,47.14247632885477,42.51252367114523,0,20.15585185185185,18.582806195438184,19.126486317378475,18.039126073497894,EIG
4,Familiar,2,40,149.67181642373072,43.21418882302457,38.57581117697542,1,18.24706896551724,17.659245097693447,18.20391453832152,17.114575657065373,EIG
4,Familiar,3,40,153.956230963971,40.39307651412334,35.621923485876664,2,19.06634375,16.981105830118636,17.541366647445482,16.420845012791794,EIG
4,Familiar,4,40,153.966187333795,35.7944807896721,31.023019210327895,3,16.999148148148148,15.901073637301444,16.461370686769463,15.340776587833425,EIG
4,Familiar,5,40,154.00008544085122,33.37875604628277,28.606243953717236,4,16.70561403508772,15.333609046729105,15.89402945451167,14.773188638946543,EIG
4,Familiar,7,40,155.14801082565606,27.93404333440232,23.125956665597684,6,14.148833333333332,14.05072220720447,14.615320020541159,13.486124393867783,EIG
4,Familiar,9,40,133.37820188037514,21.78046664998272,17.64703335001728,8,10.004521739130434,12.68475596823236,13.170131454051905,12.199380482412813,EIG
4,Familiar,10,40,125.1242119697568,21.401319751264857,17.52368024873514,9,11.712538461538461,12.625749044949874,13.081087505930766,12.170410583968984,EIG
4,Novel,2,40,195.51595708198403,51.81705114210531,45.75794885789469,1,18.61582142857143,19.51282576239792,20.224326227363363,18.801325297432477,EIG
4,Novel,3,40,244.54847221595537,55.143067835532435,47.56443216446756,2,19.665555555555557,20.115518366870248,21.00545264274769,19.225584090992804,EIG
4,Novel,4,40,238.79597655959915,52.13393199186132,44.73356800813869,3,17.75825,19.429746362950446,20.298746780562333,18.560745945338557,EIG
4,Novel,5,40,248.0406481968122,53.65842966297167,45.971570337028325,4,15.318249999999999,19.75413765761285,20.65678028155152,18.851495033674183,EIG
