trial_number,fam_duration,trial_type,mean_lt,count.x,sd_lt,ub_lt,lb_lt,param_id,count.y,sd_sample,mean_sample,ub_sample,lb_sample,scaled_samples,scaled_lb,scaled_ub,type
1,1,Familiar,3005.621582733813,695,2291.0095667587675,3175.951357358883,2835.2918081087428,0,838,973.198211000584,40.44558472553699,43.74020501229469,37.150964438779305,3149.3007868960303,3035.072993304546,3263.5285804875152,EIG
1,2,Familiar,3196.1531914893626,705,2499.4927858920314,3380.6604264268976,3011.6459565518276,0,838,973.198211000584,40.44558472553699,43.74020501229469,37.150964438779305,3149.3007868960303,3035.072993304546,3263.5285804875152,EIG
1,3,Familiar,3181.780882352942,680,2597.360885682514,3377.0051988995106,2986.556565806374,0,838,973.198211000584,40.44558472553699,43.74020501229469,37.150964438779305,3149.3007868960303,3035.072993304546,3263.5285804875152,EIG
1,4,Familiar,3105.692200557103,718,2400.2024684983694,3281.2587312560727,2930.1256698581337,0,838,973.198211000584,40.44558472553699,43.74020501229469,37.150964438779305,3149.3007868960303,3035.072993304546,3263.5285804875152,EIG
1,5,Familiar,3105.750333778371,749,2302.862777865781,3270.6740919540757,2940.8265756026663,0,838,973.198211000584,40.44558472553699,43.74020501229469,37.150964438779305,3149.3007868960303,3035.072993304546,3263.5285804875152,EIG
1,6,Familiar,3318.7803379416277,651,2674.353790411757,3524.2200684261334,3113.340607457122,0,838,973.198211000584,40.44558472553699,43.74020501229469,37.150964438779305,3149.3007868960303,3035.072993304546,3263.5285804875152,EIG
1,7,Familiar,3221.919590643276,684,2443.9066296230517,3405.0719974056697,3038.7671838808824,0,838,973.198211000584,40.44558472553699,43.74020501229469,37.150964438779305,3149.3007868960303,3035.072993304546,3263.5285804875152,EIG
1,8,Familiar,3200.197202797203,715,2485.7905604367224,3382.405263135308,3017.989142459098,0,838,973.198211000584,40.44558472553699,43.74020501229469,37.150964438779305,3149.3007868960303,3035.072993304546,3263.5285804875152,EIG
1,9,Familiar,3326.7789017341033,692,2656.0982556767203,3524.6795244455066,3128.8782790227,0,838,973.198211000584,40.44558472553699,43.74020501229469,37.150964438779305,3149.3007868960303,3035.072993304546,3263.5285804875152,EIG
1,10,Familiar,3092.899004267425,703,2552.5073388447986,3281.587493948089,2904.210514586761,0,838,973.198211000584,40.44558472553699,43.74020501229469,37.150964438779305,3149.3007868960303,3035.072993304546,3263.5285804875152,EIG
2,1,Familiar,2195.0792079207918,202,1827.8110426478004,2447.1437068410214,1943.0147090005619,0,759,605.5778080304358,16.841304347826085,18.995450370515233,14.687158325136938,2330.9166842733425,2256.2302786093346,2405.60308993735,EIG
2,1,Novel,2700.149350649351,462,2309.561663482722,2910.7523954089565,2489.546305889746,0,39,245.4002048212588,34.79358974358974,38.644546954248746,30.942632532930737,2953.3404454955526,2819.8238921140096,3086.856998877095,EIG
2,2,Familiar,2159.115655853316,709,1835.254090582639,2294.207507528407,2024.0238041782252,0,759,605.5778080304358,16.841304347826085,18.995450370515233,14.687158325136938,2330.9166842733425,2256.2302786093346,2405.60308993735,EIG
2,3,Familiar,2113.1686217008796,682,1773.4108708642282,2246.2671490643916,1980.070094337368,0,759,605.5778080304358,16.841304347826085,18.995450370515233,14.687158325136938,2330.9166842733425,2256.2302786093346,2405.60308993735,EIG
2,4,Familiar,2175.3599999999997,725,2067.1121196608124,2325.830408971236,2024.8895910287633,0,759,605.5778080304358,16.841304347826085,18.995450370515233,14.687158325136938,2330.9166842733425,2256.2302786093346,2405.60308993735,EIG
2,5,Familiar,2095.1786666666667,750,1738.5819099162993,2219.607375937192,1970.7499573961413,0,759,605.5778080304358,16.841304347826085,18.995450370515233,14.687158325136938,2330.9166842733425,2256.2302786093346,2405.60308993735,EIG
2,6,Familiar,2215.7747336377465,657,1834.4491641261354,2356.0493429373864,2075.5001243381066,0,759,605.5778080304358,16.841304347826085,18.995450370515233,14.687158325136938,2330.9166842733425,2256.2302786093346,2405.60308993735,EIG
2,7,Familiar,2252.241982507289,686,2093.965498579714,2408.9400120155,2095.5439529990776,0,759,605.5778080304358,16.841304347826085,18.995450370515233,14.687158325136938,2330.9166842733425,2256.2302786093346,2405.60308993735,EIG
2,8,Familiar,2171.0764951321285,719,1784.5220323976068,2301.517321192101,2040.6356690721561,0,759,605.5778080304358,16.841304347826085,18.995450370515233,14.687158325136938,2330.9166842733425,2256.2302786093346,2405.60308993735,EIG
2,9,Familiar,2275.7266187050363,695,2084.4004065529202,2430.6956143076404,2120.7576231024323,0,759,605.5778080304358,16.841304347826085,18.995450370515233,14.687158325136938,2330.9166842733425,2256.2302786093346,2405.60308993735,EIG
2,10,Familiar,2254.014064697609,711,2017.3768932401724,2402.3028518648357,2105.725277530382,0,759,605.5778080304358,16.841304347826085,18.995450370515233,14.687158325136938,2330.9166842733425,2256.2302786093346,2405.60308993735,EIG
3,2,Familiar,2393.462365591399,186,2177.851172832622,2706.450445204338,2080.4742859784596,0,679,463.79261472524973,12.2519882179676,13.996263463312978,10.50771297262222,2171.8004857497635,2111.3247115026106,2232.2762599969165,EIG
