param_id,trial_type,trial_number,count.x,sd_sample,mean_sample,ub_sample,lb_sample,mean_lt,count.y,sd_lt,ub_lt,lb_lt,scaled_samples,scaled_ub_sample,scaled_lb_sample
144,animacy,2,40,190.65459261242705,21.12,24.07422351923123,18.165776480768773,2667.2724137931036,580,2528.63795245078,2873.064526888004,2461.4803006982033,2603.7548395401363,2727.261820581224,2480.247858499049
144,animacy,4,40,182.74792100480636,16.70625,19.537958373375005,13.874541626624998,2606.312893081761,636,2187.2462191540267,2776.3036031624606,2436.3221830010616,2419.2295542929464,2537.614554651798,2300.8445539340955
144,animacy,6,40,176.34769781972145,16.4325,19.165035887663404,13.699964112336598,2805.443251533742,652,2623.184708264316,3006.7976613634123,2604.088841704072,2407.7849104330953,2522.0238147931686,2293.546006073022
144,fam,1,600,904.4441808734188,32.60758333333333,36.22611368181664,28.989052984850023,2988.207520143241,11170,2548.3370254024494,3035.4667183351444,2940.948321951337,3084.0152963816427,3235.294898699286,2932.735694064
144,fam,2,440,491.528424514049,14.518295454545454,16.814699879737816,12.221891029353092,2157.3938139588363,8697,2013.0309222765966,2199.701744480419,2115.0858834372534,2327.75791756502,2423.763509544976,2231.7523255850642
144,fam,3,400,354.41488845404723,10.349875,12.086507953424832,8.61324204657517,2048.7469782433523,7446,1895.1976038743194,2091.7945891932104,2005.6993672934939,2153.4891045590225,2226.0923764027807,2080.8858327152648
144,fam,4,240,240.82859158811644,8.48375,10.007201036701892,6.960298963298109,2005.5116046418568,4998,1865.6747715444117,2057.2358167909283,1953.7873924927853,2075.4721693153156,2139.1629622028927,2011.7813764277382
144,fam,5,200,209.1919289979772,7.6725,9.122126109326851,6.2228738906731484,2005.0362666666667,3750,1902.5190376099579,2065.9295580095177,1944.142975323816,2041.5563069178568,2102.1607071048434,1980.9519067308704
144,fam,6,40,80.00689115056869,6.83375,8.073469622270336,5.5940303777296645,1952.2455858747994,1246,1664.2763505393075,2044.6563352588137,1859.8348364907852,2006.490754269637,2058.3196111206075,1954.661897418666
144,identity,2,40,191.76670310836715,19.73,22.701455849898284,16.758544150101716,2515.698484848485,660,2039.888504867129,2671.327487478621,2360.0694822183486,2545.6432232289285,2669.8706349087724,2421.4158115490845
144,identity,4,40,173.82937793013858,16.32,19.013514116696275,13.626485883303726,2516.8923327895595,613,1934.5107912494893,2670.0352764793565,2363.7493890997625,2403.0816321345264,2515.689156507387,2290.474107761666
144,identity,6,40,140.17109845508546,12.2525,14.424473672904318,10.08052632709568,2431.1767676767677,594,1971.6102622060166,2589.733219589428,2272.6203157641075,2233.0319923173765,2323.835518013679,2142.2284666210735
144,number,2,40,163.30070744681902,16.705,19.23537067733896,14.174629322661035,2194.662440570523,631,1914.8421133884897,2344.070615987923,2045.2542651531232,2419.1772956451846,2524.964295592417,2313.390295697952
144,number,4,40,151.42839197038597,13.2525,15.598907243111544,10.906092756888455,2137.082781456954,604,2129.4588992862637,2306.90983087229,1967.2557320416174,2274.838910526879,2372.9349662258264,2176.742854827931
144,number,6,40,130.8716526742297,10.565,12.592877267645056,8.537122732354943,2022.2906793048974,633,1722.9842903343422,2156.5163349586255,1888.0650236511694,2162.4828178388416,2247.262116906187,2077.703518771496
144,pose,2,40,135.3830238910874,14.11,16.207781688882456,12.012218311117543,2208.5968992248063,645,1906.4374954909938,2355.7260692585637,2061.467729191049,2310.6883428915266,2398.3901303800267,2222.9865554030266
144,pose,4,40,114.57697940915668,9.36,11.135388689540228,7.584611310459771,2102.8810720268007,597,1925.7795347259557,2257.3622146084786,1948.3999294451228,2112.1054813963915,2186.3290111300753,2037.8819516627082
144,pose,6,40,101.85076802542248,8.4325,10.010694001149147,6.854305998850851,2288.4783306581057,623,2200.0070196677925,2461.2355139770816,2115.72114733913,2073.3295647570785,2139.3089922818476,2007.350137232309
