param_id,trial_type,trial_number,count,sd_sample,mean_sample,ub_sample,lb_sample
23,animacy,9,40,448.06008760573974,61.0725,68.01526298669872,54.12973701330128
23,animacy,10,40,457.6552166952989,60.14375,67.23519105,53.052308947706194
23,background,9,40,342.9135190962109,47.58625,52.89975002795759,42.27274997204241
23,background,10,40,349.6330670559456,46.96375,52.38137050231513,41.546129497684866
23,identity,9,40,401.0871279541719,52.935,59.149909436101815,46.72009056389819
23,identity,10,40,420.1525944601306,52.56375,59.07408190028297,46.05341809971703
23,number,9,40,360.23399559029315,49.38,54.96188359177306,43.798116408226946
23,number,10,40,379.18454401656805,52.51375,58.38927538186116,46.63822461813884
23,pose,9,40,346.99133160718344,47.5225,52.89918638744602,42.14581361255398
23,pose,10,40,363.4376910326692,43.79375,49.425275366957365,38.16222463304264
